Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
18,21/10/17,Southampton,West Brom,1,0,H,0,0,D,G Scott
18,21/10/17,Stoke,Bournemouth,1,2,A,0,2,A,L Probert
18,21/10/17,Swansea,Leicester,1,2,A,0,1,A,M Oliver
18,22/10/17,Everton,Arsenal,2,5,A,1,1,D,C Pawson
18,22/10/17,Tottenham,Liverpool,4,1,H,3,1,H,A Marriner
18,28/10/17,Arsenal,Swansea,2,1,H,0,1,A,L Mason
18,28/10/17,Bournemouth,Chelsea,0,1,A,0,0,D,C Pawson
18,28/10/17,Crystal Palace,West Ham,2,2,D,0,2,A,R Madley
18,28/10/17,Liverpool,Huddersfield,3,0,H,0,0,D,K Friend
18,28/10/17,Man United,Tottenham,1,0,H,0,0,D,J Moss
18,28/10/17,Watford,Stoke,0,1,A,0,1,A,M Oliver
18,28/10/17,West Brom,Man City,2,3,A,1,2,A,M Jones
18,29/10/17,Brighton,Southampton,1,1,D,0,1,A,N Swarbrick
18,29/10/17,Leicester,Everton,2,0,H,2,0,H,A Marriner
18,30/10/17,Burnley,Newcastle,1,0,H,0,0,D,M Dean
18,4/11/2017,Huddersfield,West Brom,1,0,H,1,0,H,R East
18,4/11/2017,Newcastle,Bournemouth,0,1,A,0,0,D,P Tierney
18,4/11/2017,Southampton,Burnley,0,1,A,0,0,D,L Probert
18,4/11/2017,Stoke,Leicester,2,2,D,1,1,D,R Madley
18,4/11/2017,Swansea,Brighton,0,1,A,0,1,A,M Dean
18,4/11/2017,West Ham,Liverpool,1,4,A,0,2,A,N Swarbrick
18,5/11/2017,Chelsea,Man United,1,0,H,0,0,D,A Taylor
18,5/11/2017,Everton,Watford,3,2,H,0,0,D,G Scott
18,5/11/2017,Man City,Arsenal,3,1,H,1,0,H,M Oliver
18,5/11/2017,Tottenham,Crystal Palace,1,0,H,0,0,D,K Friend
18,18/11/17,Arsenal,Tottenham,2,0,H,2,0,H,M Dean
18,18/11/17,Bournemouth,Huddersfield,4,0,H,2,0,H,L Probert
18,18/11/17,Burnley,Swansea,2,0,H,2,0,H,M Atkinson
18,18/11/17,Crystal Palace,Everton,2,2,D,2,2,D,A Taylor
18,18/11/17,Leicester,Man City,0,2,A,0,1,A,G Scott
